machine	backend	src_commit	param_sha	problem	threads	cpuset	iters	obj	hash_xMat	hash_yVec	hash_zMat	hash_all
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	mcp124-1	24	0,2,4,6,8,10,12,14,16-31	50	1.4199047709767370e+02	0xf8104575a1b0af8c	0x6748886e7168994b	0xeef9b28efbffcbc2	0xaaade00ed66a553f
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control5	1	0,2,4,6,8,10,12,14,16-31	59	1.6883599050955794e+01	0x5071c280e50878df	0x731367dc09a57cb3	0xf59274db0fbcc1b9	0x7e399d6e1023c679
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control5	2	0,2,4,6,8,10,12,14,16-31	59	1.6883599050955794e+01	0x5071c280e50878df	0x731367dc09a57cb3	0xf59274db0fbcc1b9	0x7e399d6e1023c679
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control5	4	0,2,4,6,8,10,12,14,16-31	59	1.6883599050955794e+01	0x5071c280e50878df	0x731367dc09a57cb3	0xf59274db0fbcc1b9	0x7e399d6e1023c679
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control5	8	0,2,4,6,8,10,12,14,16-31	59	1.6883599050955794e+01	0x5071c280e50878df	0x731367dc09a57cb3	0xf59274db0fbcc1b9	0x7e399d6e1023c679
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	control5	24	0,2,4,6,8,10,12,14,16-31	59	1.6883599050955794e+01	0x5071c280e50878df	0x731367dc09a57cb3	0xf59274db0fbcc1b9	0x7e399d6e1023c679
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta3	1	0,2,4,6,8,10,12,14,16-31	68	4.2166981488494407e+01	0x6a3dbeb35ed15a2d	0xa96b6d28c91018ca	0x3eebdf4d730fa0b5	0x0e41113046ec53cb
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta3	2	0,2,4,6,8,10,12,14,16-31	68	4.2166981488494407e+01	0x6a3dbeb35ed15a2d	0xa96b6d28c91018ca	0x3eebdf4d730fa0b5	0x0e41113046ec53cb
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta3	4	0,2,4,6,8,10,12,14,16-31	68	4.2166981488494407e+01	0x6a3dbeb35ed15a2d	0xa96b6d28c91018ca	0x3eebdf4d730fa0b5	0x0e41113046ec53cb
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta3	8	0,2,4,6,8,10,12,14,16-31	68	4.2166981488494407e+01	0x6a3dbeb35ed15a2d	0xa96b6d28c91018ca	0x3eebdf4d730fa0b5	0x0e41113046ec53cb
pi-i9-13900k	dd	16b585b	0abc064f632dd6ff	theta3	24	0,2,4,6,8,10,12,14,16-31	68	4.2166981488494407e+01	0x6a3dbeb35ed15a2d	0xa96b6d28c91018ca	0x3eebdf4d730fa0b5	0x0e41113046ec53cb
